"","matrix.0.","state","district","title","enddate","party","birthday","firstname","middlename","lastname","sortname","gender","twitterid"
"335","IN-2","IN",2,"Rep.","2017-01-03","Republican","1963-08-17","Jackie","","Walorski","Walorski, Jackie (Rep.) [R-IN2]","female","RepWalorski"
"336","IN-5","IN",5,"Rep.","2017-01-03","Republican","1960-08-25","Susan","W.","Brooks","Brooks, Susan (Rep.) [R-IN5]","female","SusanWBrooks"
"337","IN-6","IN",6,"Rep.","2017-01-03","Republican","1969-02-27","Luke","","Messer","Messer, Luke (Rep.) [R-IN6]","male","RepLukeMesser"
"338","KY-6","KY",6,"Rep.","2017-01-03","Republican","1973-07-24","Garland","","Barr","Barr, Garland “Andy” (Rep.) [R-KY6]","male","RepAndyBarr"
"339","MA-4","MA",4,"Rep.","2017-01-03","Democrat","1980-10-04","Joseph","P.","Kennedy","Kennedy, Joseph (Rep.) [D-MA4]","male","RepJoeKennedy"
"340","MD-6","MD",6,"Rep.","2017-01-03","Democrat","1963-04-16","John","K.","Delaney","Delaney, John (Rep.) [D-MD6]","male","RepJohnDelaney"
"341","MI-5","MI",5,"Rep.","2017-01-03","Democrat","1958-08-11","Daniel","T.","Kildee","Kildee, Daniel (Rep.) [D-MI5]","male","RepDanKildee"
"342","MO-2","MO",2,"Rep.","2017-01-03","Republican","1962-09-13","Ann","","Wagner","Wagner, Ann (Rep.) [R-MO2]","female","RepAnnWagner"
"343","NC-8","NC",8,"Rep.","2017-01-03","Republican","1971-11-04","Richard","","Hudson","Hudson, Richard (Rep.) [R-NC8]","male","RepRichHudson"
"344","NC-9","NC",9,"Rep.","2017-01-03","Republican","1948-08-15","Robert","","Pittenger","Pittenger, Robert (Rep.) [R-NC9]","male","RepPittenger"
"345","NC-11","NC",11,"Rep.","2017-01-03","Republican","1959-07-28","Mark","","Meadows","Meadows, Mark (Rep.) [R-NC11]","male","RepMarkMeadows"
"346","NC-13","NC",13,"Rep.","2017-01-03","Republican","1968-04-17","George","","Holding","Holding, George (Rep.) [R-NC13]","male","RepHolding"
"347","ND-0","ND",0,"Rep.","2017-01-03","Republican","1961-01-21","Kevin","","Cramer","Cramer, Kevin (Rep.) [R-ND0]","male","RepKevinCramer"
"348","NH-2","NH",2,"Rep.","2017-01-03","Democrat","1956-09-05","Ann","M.","Kuster","Kuster, Ann (Rep.) [D-NH2]","female","RepAnnieKuster"
"349","NM-1","NM",1,"Rep.","2017-01-03","Democrat","1959-10-24","Michelle","","Lujan Grisham","Lujan Grisham, Michelle (Rep.) [D-NM1]","female","RepLujanGrisham"
"350","NY-6","NY",6,"Rep.","2017-01-03","Democrat","1975-10-01","Grace","","Meng","Meng, Grace (Rep.) [D-NY6]","female","RepGraceMeng"
"351","NY-8","NY",8,"Rep.","2017-01-03","Democrat","1970-08-04","Hakeem","S.","Jeffries","Jeffries, Hakeem (Rep.) [D-NY8]","male","RepJeffries"
"352","NY-18","NY",18,"Rep.","2017-01-03","Democrat","1966-07-30","Sean","Patrick","Maloney","Maloney, Sean (Rep.) [D-NY18]","male","RepSeanMaloney"
"353","NY-27","NY",27,"Rep.","2017-01-03","Republican","1950-05-20","Chris","","Collins","Collins, Chris (Rep.) [R-NY27]","male","RepChrisCollins"
"354","OH-2","OH",2,"Rep.","2017-01-03","Republican","1958-06-17","Brad","R.","Wenstrup","Wenstrup, Brad (Rep.) [R-OH2]","male","RepBradWenstrup"
"355","OH-3","OH",3,"Rep.","2017-01-03","Democrat","1950-03-12","Joyce","","Beatty","Beatty, Joyce (Rep.) [D-OH3]","female","RepBeatty"
"356","OH-14","OH",14,"Rep.","2017-01-03","Republican","1957-03-17","David","P.","Joyce","Joyce, David (Rep.) [R-OH14]","male","RepDaveJoyce"
"357","OK-1","OK",1,"Rep.","2017-01-03","Republican","1975-06-15","Jim","","Bridenstine","Bridenstine, Jim (Rep.) [R-OK1]","male","RepJBridenstine"
"358","OK-2","OK",2,"Rep.","2017-01-03","Republican","1977-07-26","Markwayne","","Mullin","Mullin, Markwayne (Rep.) [R-OK2]","male","RepMullin"
"359","PA-4","PA",4,"Rep.","2017-01-03","Republican","1962-05-27","Scott","","Perry","Perry, Scott (Rep.) [R-PA4]","male","RepScottPerry"
"360","PA-12","PA",12,"Rep.","2017-01-03","Republican","1962-04-25","Keith","J.","Rothfus","Rothfus, Keith (Rep.) [R-PA12]","male","KeithRothfus"
"361","PA-17","PA",17,"Rep.","2017-01-03","Democrat","1961-05-01","Matthew","A.","Cartwright","Cartwright, Matthew (Rep.) [D-PA17]","male","RepCartwright"
"362","SC-7","SC",7,"Rep.","2017-01-03","Republican","1957-08-04","Tom","","Rice","Rice, Tom (Rep.) [R-SC7]","male","RepTomRice"
"363","TX-14","TX",14,"Rep.","2017-01-03","Republican","1953-07-02","Randy","K.","Weber","Weber, Randy (Rep.) [R-TX14]","male","TXRandy14"
"364","TX-16","TX",16,"Rep.","2017-01-03","Democrat","1972-09-26","Beto","","O'Rourke","O'Rourke, Beto (Rep.) [D-TX16]","male","RepBetoORourke"
"365","TX-20","TX",20,"Rep.","2017-01-03","Democrat","1974-09-16","Joaquin","","Castro","Castro, Joaquin (Rep.) [D-TX20]","male","JoaquinCastrotx"
"366","TX-25","TX",25,"Rep.","2017-01-03","Republican","1949-09-13","Roger","","Williams","Williams, Roger (Rep.) [R-TX25]","male","RepRWilliams"
"367","TX-33","TX",33,"Rep.","2017-01-03","Democrat","1971-01-03","Marc","A.","Veasey","Veasey, Marc (Rep.) [D-TX33]","male","RepVeasey"
"368","TX-34","TX",34,"Rep.","2017-01-03","Democrat","1963-02-13","Filemon","","Vela","Vela, Filemon (Rep.) [D-TX34]","male","RepFilemonVela"
"369","UT-2","UT",2,"Rep.","2017-01-03","Republican","1960-07-15","Chris","","Stewart","Stewart, Chris (Rep.) [R-UT2]","male","RepChrisStewart"
"370","WA-6","WA",6,"Rep.","2017-01-03","Democrat","1974-01-01","Derek","","Kilmer","Kilmer, Derek (Rep.) [D-WA6]","male","RepDerekKilmer"
"371","WA-10","WA",10,"Rep.","2017-01-03","Democrat","1952-07-29","Denny","","Heck","Heck, Denny (Rep.) [D-WA10]","male","RepDennyHeck"
"372","WI-2","WI",2,"Rep.","2017-01-03","Democrat","1964-08-14","Mark","","Pocan","Pocan, Mark (Rep.) [D-WI2]","male","RepMarkPocan"
"373","IL-2","IL",2,"Rep.","2017-01-03","Democrat","1956-04-30","Robin","","Kelly","Kelly, Robin (Rep.) [D-IL2]","female","RepRobinKelly"
"374","MO-8","MO",8,"Rep.","2017-01-03","Republican","1980-06-16","Jason","T.","Smith","Smith, Jason (Rep.) [R-MO8]","male","RepJasonSmith"
"375","MA-5","MA",5,"Rep.","2017-01-03","Democrat","1963-07-17","Katherine","M.","Clark","Clark, Katherine (Rep.) [D-MA5]","female","RepKClark"
"376","AL-1","AL",1,"Rep.","2017-01-03","Republican","1955-02-16","Bradley","","Byrne","Byrne, Bradley (Rep.) [R-AL1]","male","RepByrne"
"377","FL-13","FL",13,"Rep.","2017-01-03","Republican","1972-10-31","David","W.","Jolly","Jolly, David (Rep.) [R-FL13]","male","USRepDavidJolly"
"378","FL-19","FL",19,"Rep.","2017-01-03","Republican","1959-09-28","Curtis","","Clawson","Clawson, Curtis “Curt” (Rep.) [R-FL19]","male","RepCurtClawson"
"379","VA-7","VA",7,"Rep.","2017-01-03","Republican","1964-07-27","David","Alan","Brat","Brat, David “Dave” (Rep.) [R-VA7]","male",NA
"380","NJ-1","NJ",1,"Rep.","2017-01-03","Democrat","1958-12-13","Donald","W.","Norcross","Norcross, Donald (Rep.) [D-NJ1]","male",NA
"381","NC-12","NC",12,"Rep.","2017-01-03","Democrat","1946-05-27","Alma","","Adams","Adams, Alma (Rep.) [D-NC12]","female","RepAdams"
"382","AL-6","AL",6,"Rep.","2017-01-03","Republican","1954-05-14","Gary","","Palmer","Palmer, Gary (Rep.) [R-AL6]","male","USRepGaryPalmer"
"383","AR-2","AR",2,"Rep.","2017-01-03","Republican","1956-12-05","French","","Hill","Hill, French (Rep.) [R-AR2]","male","RepFrenchHill"
"384","AR-4","AR",4,"Rep.","2017-01-03","Republican","1967-11-18","Bruce","","Westerman","Westerman, Bruce (Rep.) [R-AR4]","male","RepWesterman"
"385","AZ-2","AZ",2,"Rep.","2017-01-03","Republican","1966-03-22","Martha","","McSally","McSally, Martha (Rep.) [R-AZ2]","female","RepMcSally"
"386","AZ-7","AZ",7,"Rep.","2017-01-03","Democrat","1979-11-20","Ruben","","Gallego","Gallego, Ruben (Rep.) [D-AZ7]","male","RepRubenGallego"
"387","CA-11","CA",11,"Rep.","2017-01-03","Democrat","1952-03-31","Mark","","DeSaulnier","DeSaulnier, Mark (Rep.) [D-CA11]","male","RepDeSaulnier"
"388","CA-25","CA",25,"Rep.","2017-01-03","Republican","1966-12-17","Steve","","Knight","Knight, Steve (Rep.) [R-CA25]","male","SteveKnight25"
"389","CA-31","CA",31,"Rep.","2017-01-03","Democrat","1979-06-19","Pete","","Aguilar","Aguilar, Pete (Rep.) [D-CA31]","male","reppeteaguilar"
"390","CA-33","CA",33,"Rep.","2017-01-03","Democrat","1969-03-29","Ted","","Lieu","Lieu, Ted (Rep.) [D-CA33]","male","RepTedLieu"
"391","CA-35","CA",35,"Rep.","2017-01-03","Democrat","1965-04-04","Norma","","Torres","Torres, Norma (Rep.) [D-CA35]","female","NormaJTorres"
"392","CA-45","CA",45,"Rep.","2017-01-03","Republican","1962-05-14","Mimi","","Walters","Walters, Mimi (Rep.) [R-CA45]","female","RepMimiWalters"
"393","CO-4","CO",4,"Rep.","2017-01-03","Republican","1959-02-16","Ken","","Buck","Buck, Ken (Rep.) [R-CO4]","male","RepKenBuck"
"394","FL-2","FL",2,"Rep.","2017-01-03","Democrat","1963-01-31","Gwen","","Graham","Graham, Gwen (Rep.) [D-FL2]","female","RepGwenGraham"
"395","FL-26","FL",26,"Rep.","2017-01-03","Republican","1980-03-01","Carlos","","Curbelo","Curbelo, Carlos (Rep.) [R-FL26]","male","RepCurbelo"
"396","GA-1","GA",1,"Rep.","2017-01-03","Republican","1957-09-06","Buddy","","Carter","Carter, Buddy (Rep.) [R-GA1]","male","RepBuddyCarter"
"397","GA-10","GA",10,"Rep.","2017-01-03","Republican","1960-04-22","Jody","","Hice","Hice, Jody (Rep.) [R-GA10]","male","congressmanhice"
"398","GA-11","GA",11,"Rep.","2017-01-03","Republican","1963-12-22","Barry","","Loudermilk","Loudermilk, Barry (Rep.) [R-GA11]","male","RepLoudermilk"
"399","GA-12","GA",12,"Rep.","2017-01-03","Republican","1951-11-07","Rick","","Allen","Allen, Rick (Rep.) [R-GA12]","male","reprickallen"
"400","HI-1","HI",1,"Rep.","2017-01-03","Democrat","1967-07-01","Mark","","Takai","Takai, Mark (Rep.) [D-HI1]","male","RepMarkTakai"
"401","IA-1","IA",1,"Rep.","2017-01-03","Republican","1955-04-26","Rod","","Blum","Blum, Rod (Rep.) [R-IA1]","male","RepRodBlum"
"402","IA-3","IA",3,"Rep.","2017-01-03","Republican","1968-05-11","David","","Young","Young, David (Rep.) [R-IA3]","male","RepDavidYoung"
"403","IL-12","IL",12,"Rep.","2017-01-03","Republican","1960-12-30","Mike","","Bost","Bost, Mike (Rep.) [R-IL12]","male","RepBost"
"404","LA-5","LA",5,"Rep.","2017-01-03","Republican","1954-09-16","Ralph","","Abraham","Abraham, Ralph (Rep.) [R-LA5]","male","RepAbraham"
"405","LA-6","LA",6,"Rep.","2017-01-03","Republican","1972-01-31","Garret","","Graves","Graves, Garret (Rep.) [R-LA6]","male","RepGarretGraves"
"406","MA-6","MA",6,"Rep.","2017-01-03","Democrat","1978-10-24","Seth","","Moulton","Moulton, Seth (Rep.) [D-MA6]","male",NA
"407","ME-2","ME",2,"Rep.","2017-01-03","Republican","1953-11-01","Bruce","","Poliquin","Poliquin, Bruce (Rep.) [R-ME2]","male","RepPoliquin"
"408","MI-4","MI",4,"Rep.","2017-01-03","Republican","1961-05-08","John","","Moolenaar","Moolenaar, John (Rep.) [R-MI4]","male","RepMoolenaar"
"409","MI-8","MI",8,"Rep.","2017-01-03","Republican","1967-03-18","Mike","","Bishop","Bishop, Mike (Rep.) [R-MI8]","male","RepMikeBishop"
"410","MI-11","MI",11,"Rep.","2017-01-03","Republican","1960-10-16","Dave","","Trott","Trott, Dave (Rep.) [R-MI11]","male","repdavetrott"
"411","MI-12","MI",12,"Rep.","2017-01-03","Democrat","1953-11-23","Debbie","","Dingell","Dingell, Debbie (Rep.) [D-MI12]","female","RepDebDingell"
"412","MI-14","MI",14,"Rep.","2017-01-03","Democrat","1954-10-18","Brenda","","Lawrence","Lawrence, Brenda (Rep.) [D-MI14]","female",NA
"413","MN-6","MN",6,"Rep.","2017-01-03","Republican","1961-03-03","Tom","","Emmer","Emmer, Tom (Rep.) [R-MN6]","male","RepTomEmmer"
"414","MT-0","MT",0,"Rep.","2017-01-03","Republican","1961-11-01","Ryan","","Zinke","Zinke, Ryan (Rep.) [R-MT0]","male","RepRyanZinke"
"415","NC-7","NC",7,"Rep.","2017-01-03","Republican","1972-02-16","David","","Rouzer","Rouzer, David (Rep.) [R-NC7]","male","RepDavidRouzer"
"416","NE-2","NE",2,"Rep.","2017-01-03","Democrat","1949-11-10","Brad","","Ashford","Ashford, Brad (Rep.) [D-NE2]","male","RepBradAshford"
"417","NJ-3","NJ",3,"Rep.","2017-01-03","Republican","1960-10-16","Tom","","MacArthur","MacArthur, Tom (Rep.) [R-NJ3]","male","RepTomMacArthur"
"418","NJ-12","NJ",12,"Rep.","2017-01-03","Democrat","1945-02-06","Bonnie","","Watson Coleman","Watson Coleman, Bonnie (Rep.) [D-NJ12]","female","RepBWColeman"
"419","NV-4","NV",4,"Rep.","2017-01-03","Republican","1957-06-23","Cresent","","Hardy","Hardy, Cresent (Rep.) [R-NV4]","male","RepHardy"
"420","NY-1","NY",1,"Rep.","2017-01-03","Republican","1980-01-30","Lee","","Zeldin","Zeldin, Lee (Rep.) [R-NY1]","male","RepLeeZeldin"
"421","NY-4","NY",4,"Rep.","2017-01-03","Democrat","1965-02-15","Kathleen","","Rice","Rice, Kathleen (Rep.) [D-NY4]","female","RepKathleenRice"
"422","NY-21","NY",21,"Rep.","2017-01-03","Republican","1984-07-02","Elise","","Stefanik","Stefanik, Elise (Rep.) [R-NY21]","female","RepStefanik"
"423","NY-24","NY",24,"Rep.","2017-01-03","Republican","1962-11-09","John","","Katko","Katko, John (Rep.) [R-NY24]","male","RepJohnKatko"
"424","OK-5","OK",5,"Rep.","2017-01-03","Republican","1963-05-25","Steve","","Russell","Russell, Steve (Rep.) [R-OK5]","male","USRepRussell"
"425","PA-6","PA",6,"Rep.","2017-01-03","Republican","1976-09-07","Ryan","","Costello","Costello, Ryan (Rep.) [R-PA6]","male","RepRyanCostello"
"426","PA-13","PA",13,"Rep.","2017-01-03","Democrat","1977-02-06","Brendan","","Boyle","Boyle, Brendan (Rep.) [D-PA13]","male","RepBrendanBoyle"
"427","TX-4","TX",4,"Rep.","2017-01-03","Republican","1965-10-20","John","","Ratcliffe","Ratcliffe, John (Rep.) [R-TX4]","male","RepRatcliffe"
"428","TX-23","TX",23,"Rep.","2017-01-03","Republican","1977-08-19","Will","","Hurd","Hurd, Will (Rep.) [R-TX23]","male","hurdonthehill"
"429","TX-36","TX",36,"Rep.","2017-01-03","Republican","1948-03-23","Brian","","Babin","Babin, Brian (Rep.) [R-TX36]","male","RepBrianBabin"
"430","UT-4","UT",4,"Rep.","2017-01-03","Republican","1975-12-06","Mia","","Love","Love, Mia (Rep.) [R-UT4]","female","repmialove"
"431","VA-8","VA",8,"Rep.","2017-01-03","Democrat","1950-06-20","Donald","","Beyer","Beyer, Donald (Rep.) [D-VA8]","male",NA
"432","VA-10","VA",10,"Rep.","2017-01-03","Republican","1959-06-30","Barbara","","Comstock","Comstock, Barbara (Rep.) [R-VA10]","female","RepComstock"
"433","VI-0","VI",0,"Rep.","2017-01-03","Democrat","1966-05-13","Stacey","","Plaskett","Plaskett, Stacey (Rep.) [D-VI0]","female","staceyplaskett"
"434","WA-4","WA",4,"Rep.","2017-01-03","Republican","1955-07-10","Dan","","Newhouse","Newhouse, Dan (Rep.) [R-WA4]","male","RepNewhouse"
"435","WI-6","WI",6,"Rep.","2017-01-03","Republican","1955-07-03","Glenn","","Grothman","Grothman, Glenn (Rep.) [R-WI6]","male",NA
"436","WV-2","WV",2,"Rep.","2017-01-03","Republican","1971-06-05","Alex","","Mooney","Mooney, Alex (Rep.) [R-WV2]","male","RepAlexMooney"
"437","WV-3","WV",3,"Rep.","2017-01-03","Republican","1960-09-12","Evan","","Jenkins","Jenkins, Evan (Rep.) [R-WV3]","male","RepEvanJenkins"
"438","AS-0","AS",0,"Rep.","2017-01-03","Republican","1947-12-29","Aumua","","Amata","Amata, Aumua (Rep.) [R-AS0]","female","RepAmata"
"439","NY-11","NY",11,"Rep.","2017-01-03","Republican","1956-11-03","Daniel","M.","Donovan","Donovan, Daniel (Rep.) [R-NY11]","male",NA
"440","MS-1","MS",1,"Rep.","2017-01-03","Republican","1966-03-01","Trent","","Kelly","Kelly, Trent (Rep.) [R-MS1]","male",NA
